row_index,provenance,detrended,trendDetectedForDetrend,status,problem_count,warning_count,problems,warnings,raw_path,detrended_path
3046,TESSCut,True,True,ok,0,0,,,/data/projects/TESS-research/data_pipeline/TESSCache/VSX_ZTF_J192344.85+080457.9_TIC_446650279_TESSCut_raw.fits,/data/projects/TESS-research/detrend_tesscut/output/VSX_ZTF_J192344.85+080457.9_TIC_446650279_TESSCut_detrended.fits
3047,TESSCut,True,True,ok,0,0,,,/data/projects/TESS-research/data_pipeline/TESSCache/VSX_ASASSN-V_J134119.13-501314.2_TIC_241418773_TESSCut_raw.fits,/data/projects/TESS-research/detrend_tesscut/output/VSX_ASASSN-V_J134119.13-501314.2_TIC_241418773_TESSCut_detrended.fits
3048,QLP,False,False,ok,0,0,,,,
3049,QLP,False,False,ok,0,0,,,,
3050,QLP,False,False,ok,0,0,,,,
3051,QLP,False,False,ok,0,0,,,,
3052,TESSCut,False,False,ok,0,0,,,/data/projects/TESS-research/data_pipeline/TESSCache/VSX_ZTF_J195636.99+295805.7_TIC_1863955782_TESSCut_raw.fits,
3053,QLP,False,False,ok,0,0,,,,
3054,TESSCut,True,True,ok,0,0,,,/data/projects/TESS-research/data_pipeline/TESSCache/VSX_ASASSN-V_J070151.40-235029.4_TIC_80281211_TESSCut_raw.fits,/data/projects/TESS-research/detrend_tesscut/output/VSX_ASASSN-V_J070151.40-235029.4_TIC_80281211_TESSCut_detrended.fits
3055,QLP,False,False,ok,0,0,,,,
3056,QLP,False,False,ok,0,0,,,,
3057,TESSCut,True,True,ok,0,0,,,/data/projects/TESS-research/data_pipeline/TESSCache/VSX_ZTF_J190956.05+010524.7_TIC_180824039_TESSCut_raw.fits,/data/projects/TESS-research/detrend_tesscut/output/VSX_ZTF_J190956.05+010524.7_TIC_180824039_TESSCut_detrended.fits
3058,TESSCut,True,True,ok,0,0,,,/data/projects/TESS-research/data_pipeline/TESSCache/VSX_ZTF_J191019.11+011552.1_TIC_180912674_TESSCut_raw.fits,/data/projects/TESS-research/detrend_tesscut/output/VSX_ZTF_J191019.11+011552.1_TIC_180912674_TESSCut_detrended.fits
3059,TESSCut,True,True,ok,0,0,,,/data/projects/TESS-research/data_pipeline/TESSCache/VSX_LINEAR_7243441_TIC_77549665_TESSCut_raw.fits,/data/projects/TESS-research/detrend_tesscut/output/VSX_LINEAR_7243441_TIC_77549665_TESSCut_detrended.fits
3060,TESSCut,False,False,ok,0,0,,,/data/projects/TESS-research/data_pipeline/TESSCache/VSX_ZTF_J202845.43+462920.0_TIC_194134396_TESSCut_raw.fits,
3061,TESSCut,True,True,ok,0,0,,,/data/projects/TESS-research/data_pipeline/TESSCache/VSX_ZTF_J210106.12+461427.3_TIC_304115026_TESSCut_raw.fits,/data/projects/TESS-research/detrend_tesscut/output/VSX_ZTF_J210106.12+461427.3_TIC_304115026_TESSCut_detrended.fits
3062,TESSCut,False,False,ok,0,0,,,/data/projects/TESS-research/data_pipeline/TESSCache/VSX_ZTF_J204720.60+344808.1_TIC_232941629_TESSCut_raw.fits,
3063,TESSCut,False,False,ok,0,0,,,/data/projects/TESS-research/data_pipeline/TESSCache/VSX_ASASSN-V_J065855.98-145853.1_TIC_147367066_TESSCut_raw.fits,
3064,TESSCut,False,False,ok,0,0,,,/data/projects/TESS-research/data_pipeline/TESSCache/VSX_ZTF_J193543.24+305321.3_TIC_41431556_TESSCut_raw.fits,
3065,TESSCut,False,False,ok,0,0,,,/data/projects/TESS-research/data_pipeline/TESSCache/VSX_ASASSN-V_J174344.67+285353.1_TIC_460033911_TESSCut_raw.fits,
3066,QLP,False,False,ok,0,0,,,,
3067,TESSCut,False,False,ok,0,0,,,/data/projects/TESS-research/data_pipeline/TESSCache/VSX_ZTF_J203646.74+444709.4_TIC_188893062_TESSCut_raw.fits,
3068,TESSCut,False,False,ok,0,0,,,/data/projects/TESS-research/data_pipeline/TESSCache/VSX_Raf_V045_TIC_118018797_TESSCut_raw.fits,
3069,TESSCut,False,False,ok,0,0,,,/data/projects/TESS-research/data_pipeline/TESSCache/VSX_ZTF_J195722.48+320846.7_TIC_102153022_TESSCut_raw.fits,
